host_species	host_order	host_class	events	individuals	samples	data
Calotriton asper	Caudata	Amphibia	5	31	37	230.39354730000002
Canis familiaris	Carnivora	Mammalia	14	58	58	333.706827
Chalcides striatus	Squamata	Lepidosauria	2	2	2	39.4685949
Geospizopsis unicolor	Passeriformes	Aves	1	2	2	18.323496
Lepus europaeus	Lagomorpha	Mammalia	15	25	50	252.64673820000004
Lissotriton helveticus	Caudata	Amphibia	16	88	97	444.6582528000002
Natrix astreptophora	Squamata	Lepidosauria	2	2	2	32.8438776
Perisoreus infaustus	Passeriformes	Aves	2	2	2	32.493027
Plecotus auritus	Chiroptera	Mammalia	1	2	2	42.129546899999994
Podarcis filfolensis	Squamata	Lepidosauria	9	43	43	174.67923300000004
Podarcis gaigeae	Squamata	Lepidosauria	17	61	61	303.4715766
Podarcis liolepis	Squamata	Lepidosauria	2	13	13	66.9840543
Podarcis milensis	Squamata	Lepidosauria	8	26	26	149.6805216
Podarcis muralis	Squamata	Lepidosauria	35	154	165	998.4877083
Podarcis pityusensis	Squamata	Lepidosauria	12	43	43	220.76782889999998
Psittacula echo	Psittaciformes	Aves	49	48	50	591.2283414000002
Salamandra atra	Caudata	Amphibia	1	2	2	23.8163316
Sciurus carolinensis	Rodentia	Mammalia	47	65	120	533.1140393999998
Sciurus vulgaris	Rodentia	Mammalia	76	74	123	660.4551216000001
Trichosurus vulpecula	Diprotodontia	Mammalia	2	2	2	20.852787900000003
Zonotrichia capensis	Passeriformes	Aves	1	2	2	27.986913599999994
