capture_id	animal_length	animal_weight	animal_development	specimen_id	sample_id
SD0345301	NA	1.52	Adult	SD03453	AAO92, AAO83
SD0064401	58	5.5	Unknown	SD00644	ABK73, ABK74
SD0040601	56.5	280	Adult	SD00406	AAV55, AAV60, AAV68
SD0235101	62	5.58	NA	SD02351	AEX87, AEX97
SD0034402	62	630	Adult	SD00344	AAV16, AAV18
SD0060701	58	4.2	Unknown	SD00607	ABJ83, ABJ84
SD0453601	NA	2500	Juvenile	SD04536	AIR92, AIR91
SD0224501	NA	NA	NA	SD02245	AFL06, AFL07
SD0043701	58	250	Adult	SD00437	AAZ39, AAZ48, AAZ52
SD0431501	58	4.18	Adult	SD04315	AHC16, AHC02
SD0170302	58	360	Adult	SD01703	ADV31, ADV32
SD0420501	NA	NA	Juvenile	SD04205	AIQ53
SD0104601	75	10.44	Unknown	SD01046	ABM22, ABM21
SD0316801	NA	NA	Adult	SD03168	AGB82
SD0191501	63	635	Adult	SD01915	ADW27, ADW28
SD0034102	60	550	Adult	SD00341	AAV02, AAV05
SD0080201	160.39	5.76	Adult	SD00802	ADM43, ADM55
SD0313001	NA	NA	Juvenile	SD03130	AGD10
SD0385301	60	4.4	Adult	SD03853	AJP46, AKE10, AKE11
SD0324501	57	140	Juvenile	SD03245	AAW37
SD0420701	NA	NA	Juvenile	SD04207	AIQ55
SD0437901	77	13.97	Adult	SD04379	AHE13, AHE14
SD0325701	NA	NA	Adult	SD03257	AAX65
SD0034501	NA	295	Adult	SD00345	AAA04, AAA06
SD0344001	NA	1.57	Adult	SD03440	AAQ20, AAQ21
SD0029101	63	550	Adult	SD00291	ABA64, ABA65, ABA66
SD0044602	58	210	Juvenile	SD00446	AAZ79
SD0447801	NA	1.37	Adult	SD04478	AGP32
SD0050101	39.6	7.4	Nursing	SD00501	ACC43, ACB61
SD0041201	60	510	Adult	SD00412	ABB24, ABB25, ABB26
SD0170402	NA	315	Adult	SD01704	ADU71, ADU72
SD0239001	50	2.98	NA	SD02390	ABR24, ABR21
SD0061301	61	5.5	Unknown	SD00613	ABK05, ABK06
SD0053301	71	6.96	Adult	SD00533	ABL98, ABL99
SD0433201	60	5.27	Adult	SD04332	AHB37, AHB59
SD0030002	62.5	630	Adult	SD00300	AAV93, AAV94, AAV95
SD0177901	59	335	Adult	SD01779	AEL36, AEL38
SD0088301	156.33	4.88	Adult	SD00883	ADJ97, ADJ96
SD0176803	59	320	Pregnant	SD01768	AEM44, AEM45
SD0080801	170.07	5.55	Adult	SD00808	ADM28, ADM52
SD0435301	48	2.81	Adult	SD04353	AHC95, AHC94
SD0344101	NA	1.5	Adult	SD03441	AAQ19, AAQ23
