rawdata_id	sample_id	accession_experiment	accession_run	sequencing_batch	total_gb	host_gb	metagenomic_gb	lowqual_gb	microbial_fraction	nonpareil_completeness
EHI00001	ABK09	ERX13445445	ERR14042432	SEB001	2.8053378	2.646211769	0	0.159126031	NA	NA
EHI00002	ABI46	ERX13445454	ERR14042441	SEB001	1.5700395	0.035433871	1.394358496	0.14024713300000013	46.5	0.685521094031679
EHI00003	ABI47	ERX13445437	ERR14042424	SEB001	3.5780358	3.340532048	0	0.23750375199999985	NA	NA
EHI00004	ABK09	ERX13445429	ERR14042416	SEB001	3.2114139	2.984989629	0	0.22642427099999995	NA	NA
EHI00005	ABK57	ERX13445447	ERR14042434	SEB001	2.7128511	0.034949881	2.486913034	0.1909881849999997	61.98	0.76336165760497
EHI00025	NSAP67	ERX14058938	ERR14657212	SEB001	3.7065531	0.118244788	3.362054146	0.22625416599999948	98.68	0.786908641948077
EHI00069	ABJ89	ERX13445359	ERR14042346	SEB001	8.2223067	0.920532571	6.157621999	1.144152130000001	55.93	0.909914524630621
EHI00070	ABL39	ERX13445413	ERR14042400	SEB001	3.6422202	0.93759988	2.469728439	0.23489188100000025	57.85	0.791993141021565
EHI00071	AAW13	ERX14056253	ERR14654784	SEB001	8.4257574	6.040382831	1.361641308	1.0237332610000005	4.86	0.742134422416137
EHI00072	ABK12	ERX13445387	ERR14042374	SEB001	5.4438999	0.078319449	4.993871498	0.37170895299999973	64.42	0.860509873324295
EHI00073	ABL01	ERX13445449	ERR14042436	SEB001	2.6489496	0.007300164	2.491173198	0.15047623799999998	61.54	0.777554062337925
EHI00074	ABL51	ERX13445360	ERR14042347	SEB001	8.1479604	0.034671349	7.543261506	0.5700275450000003	60.38	0.884768377783516
EHI00075	ABK18	ERX13445403	ERR14042390	SEB001	4.1641575	0.444390387	3.449546649	0.2702204639999999	63.91	0.844809591592238
EHI00076	ABI40	ERX13445378	ERR14042365	SEB001	5.6726859	0.081391903	5.25623932	0.33505467700000047	61.1	0.922172898888416
EHI00077	ABL45	ERX13445880	ERR14042867	SEB001	2.5603827	0.641770627	1.78326259	0.13534948299999972	66.39	0.771917510779645
EHI00078	AAW11	ERX14056326	ERR14654857	SEB001	2.8508685	2.421659162	0	0.4292093379999997	NA	0.888410970974704
EHI00079	ABL19	ERX13445410	ERR14042397	SEB001	4.4326296	2.721037061	1.373801946	0.33779059300000025	50.74	0.710681264549649
EHI00080	ABL37	ERX13445380	ERR14042367	SEB001	7.3838613	1.605187153	5.049477727	0.7291964200000001	46.31	0.826550907132647
EHI00081	ABK88	ERX13445443	ERR14042430	SEB001	2.8432758	0.72744809	1.897409703	0.2184180069999997	55.66	0.786674905262353
EHI00082	AAW31	ERX14056255	ERR14654786	SEB001	7.8394959	3.730899163	2.778724138	1.3298725990000002	70.79	0.894832942478347
EHI00083	AAW19	ERX14056323	ERR14654854	SEB001	3.2617944	1.522067209	1.178186966	0.5615402249999999	0.69	0.613293029428435
EHI00084	AAW20	ERX14056291	ERR14654822	SEB001	4.0110705	2.62207264	0.675248892	0.7137489679999999	2.84	0.587937784503412
EHI00085	ABL25	ERX13445432	ERR14042419	SEB001	2.9370126	0.212261834	2.494742094	0.2300086720000003	60.96	0.884176554632317
EHI00086	ABK90	ERX13445438	ERR14042425	SEB001	3.5858325	0.417593612	2.821121298	0.34711758999999986	55.29	0.842366730660718
EHI00087	AAW12	ERX14056278	ERR14654809	SEB001	6.6856059	5.306284098	0.736297986	0.6430238159999998	71.97	0.93560266535779
EHI00088	ABK71	ERX13445414	ERR14042401	SEB001	3.86937	0.07176921	3.569734521	0.22786626900000018	71.65	0.889279808562383
EHI00089	ABI56	ERX13445446	ERR14042433	SEB001	2.6840037	0.034915171	2.473897563	0.17519096599999973	63.93	0.875590921421085
EHI00090	AAW14	ERX14056322	ERR14654853	SEB001	2.6144448	2.4113159	0	0.20312889999999983	NA	NA
EHI00091	ABI58	ERX13445420	ERR14042407	SEB001	3.8102874	0.230039482	3.317973426	0.26227449199999997	61.23	0.856355463854105
EHI00092	ABJ91	ERX13445375	ERR14042362	SEB001	6.5063313	0.17084245	5.943716483	0.39177236699999973	76.38	0.966517441826939
EHI00093	ABL92	ERX13445417	ERR14042404	SEB001	4.079757	0.199633318	3.507549808	0.37257387399999997	57.44	0.767495450156593
EHI00094	AAW21	ERX14056271	ERR14654802	SEB001	7.8326874	2.413901612	4.139280655	1.2795051329999998	46.37	0.915391222353303
EHI00095	ABL86	ERX13445444	ERR14042431	SEB001	2.7020268	0.255990148	2.269181675	0.17685497700000008	67.17	0.850296645236519
EHI00096	AAW26	ERX14056285	ERR14654816	SEB001	4.5872196	2.83252109	1.080989266	0.6737092439999999	22.86	0.567745374320409
EHI00097	ABK46	ERX13445394	ERR14042381	SEB001	4.6628925	0.366551383	3.771419701	0.5249214159999998	63.26	0.889473899676019
EHI00098	ABJ51	ERX13445396	ERR14042383	SEB001	5.2346577	0.040047629	4.876970597	0.3176394739999999	58.25	0.850008913081848
EHI00099	AAW15	ERX14056302	ERR14654833	SEB001	3.7919445	2.475108929	0.660000925	0.656834646	16.76	0.70711238075425
EHI00100	ABK86	ERX13445358	ERR14042345	SEB001	7.769388	2.398470758	4.932226498	0.43869074399999963	65.96	0.893410318949915
