sample_id	sample_type	sample_origin	freshness	time_to_freezing	rawdata_id	capture_id	accession
ABM39	Faecal	Animal	< 10 minutes	< 1 day	EHI02189	SD0105101	ERS23737847
AGO08	Faecal	Other	< 30 minutes	< 1 day	EHI02576	SD0449101	ERS22557259
AGD10	Faecal	Ground	< 30 minutes	< 14 days	EHI01323	SD0313001	ERS23744620
AEL49	Faecal	Trap	< 3 hours	< 1 day	EHI01498	SD0169502	ERS22456041
AEX41	Faecal	NA	NA	NA	EHI00687	SD0232101	ERS23745224
AAP52	Faecal	Trap	NA	< 1 day	EHI01438	SD0342201	ERS22557284
AGO47	Faecal	Other	< 3 hours	< 1 day	EHI02618	SD0450501	ERS22455924
AAQ02	Anal/cloacal swab	Animal	< 1 minute	< 1 day	EHI01622	SD0341401	ERS22557295
AEM33	Faecal	Trap	< 3 hours	< 1 day	EHI01998	SD0177902	ERS22456042
ABI44	Faecal	Animal	< 1 minute	< 14 days	EHI00124	SD0064901	ERS22551300
AIQ87	Faecal	Housing	NA	< 3 days	EHI01981	SD0421202	ERS23744570
AEX78	Faecal	NA	NA	NA	EHI00758	SD0234101	ERS23745356
ACH19	Faecal	Trap	< 3 hours	< 1 day	EHI01462	SD0029804	ERS22456011
ABC51	Faecal	Trap	< 3 hours	< 1 day	EHI02032	SD0039601	ERS22455901
AJP64	Faecal	Housing	NA	< 1 day	EHI02592	SD0383701	ERS22453901
AIR24	Colon contents	Animal	< 3 hours	NA	EHI02749	SD0453101	ERS23744575
AAP06	Faecal	Trap	< 1 hour	< 1 day	EHI01437	SD0345401	ERS22456003
AAB61	Faecal	Trap	< 3 hours	< 1 day	EHI02019	SD0044801	ERS22456044
AHD01	Faecal	Animal	< 1 minute	< 14 days	EHI02182	SD0435601	ERS23745221
ABR23	Faecal	NA	NA	NA	EHI02214	SD0239201	ERS23745341
AGD04	Faecal	Ground	< 30 minutes	< 14 days	EHI01331	SD0313601	ERS23744687
AGC06	Faecal	Ground	< 30 minutes	< 14 days	EHI01306	SD0315001	ERS23744675
AAZ81	Faecal	Trap	< 3 hours	< 1 day	EHI02263	SD0044301	ERS22455894
ABJ91	Faecal	Animal	< 1 minute	< 21 days	EHI00092	SD0061101	ERS22551285
