specimen_id	host_species	sex	capture_id
SD01809	Sciurus vulgaris	Female	SD0180901, SD0180902
SD02344	Podarcis filfolensis	Female	SD0234401
SD00777	Podarcis muralis	Male	SD0077701
SD02372	Podarcis gaigeae	Male	SD0237201
SD03247	Psittacula echo	Unknown	SD0324701
SD03839	Calotriton asper	Male	SD0383901
SD00371	Sciurus carolinensis	Female	SD0037101, SD0037102, SD0037103
SD03163	Canis familiaris	Male	SD0316301
SD03844	Calotriton asper	Male	SD0384401
SD03470	Lissotriton helveticus	Male	SD0347001
SD02361	Podarcis gaigeae	Male	SD0236101
SD03125	Canis familiaris	Female	SD0312501
SD00748	Podarcis muralis	Male	SD0074801
SD03438	Lissotriton helveticus	Male	SD0343801
SD04207	Lepus europaeus	Unknown	SD0420701, SD0420702
SD00370	Sciurus carolinensis	Female	SD0037001, SD0037002, SD0037003
SD01050	Podarcis pityusensis	Female	SD0105001
SD03634	Chalcides striatus	Unknown	SD0363401
SD00868	Podarcis muralis	Male	SD0086801
SD03159	Canis familiaris	Male	SD0315901
SD03412	Lissotriton helveticus	Male	SD0341201
SD00539	Podarcis muralis	Male	SD0053901
SD02310	Podarcis filfolensis	Male	SD0231001
SD02362	Podarcis gaigeae	Male	SD0236201
SD04361	Podarcis milensis	Male	SD0436101
SD00286	Sciurus carolinensis	Male	SD0028601
SD00364	Sciurus carolinensis	Male	SD0036401, SD0036402
SD04477	Lissotriton helveticus	Male	SD0447701
SD00293	Sciurus carolinensis	Male	SD0029301
SD00326	Sciurus vulgaris	Female	SD0032601, SD0032602, SD0032603, SD0032604
SD00745	Podarcis muralis	Male	SD0074501
SD02373	Podarcis gaigeae	Male	SD0237301
SD00300	Sciurus carolinensis	Male	SD0030001, SD0030002
SD03151	Canis familiaris	Female	SD0315101
SD00439	Sciurus carolinensis	Female	SD0043901, SD0043902, SD0043903, SD0043904
SD00746	Podarcis muralis	Male	SD0074601
SD00809	Podarcis muralis	Male	SD0080901
SD00885	Podarcis muralis	Male	SD0088501
SD00324	Sciurus carolinensis	Female	SD0032401, SD0032402
SD02254	Podarcis muralis	Male	SD0225401
SD04517	Lissotriton helveticus	Male	SD0451701
SD04323	Podarcis gaigeae	Female	SD0432301
SD04529	Lissotriton helveticus	Male	SD0452901
SD04496	Lissotriton helveticus	Male	SD0449601
SD01795	Sciurus vulgaris	Female	SD0179501
SD04352	Podarcis milensis	Male	SD0435201
SD04508	Lissotriton helveticus	Male	SD0450801
SD00792	Podarcis muralis	Male	SD0079201
SD00297	Sciurus vulgaris	Male	SD0029701, SD0029702, SD0029703
SD01769	Sciurus vulgaris	Female	SD0176901, SD0176902
SD03415	Lissotriton helveticus	Male	SD0341501
SD02320	Podarcis filfolensis	Male	SD0232001
SD04377	Podarcis pityusensis	Male	SD0437701
SD02638	Podarcis muralis	Female	SD0263801
SD00306	Sciurus vulgaris	Male	SD0030601, SD0030602
SD04360	Podarcis milensis	Male	SD0436001
SD00803	Podarcis muralis	Male	SD0080301
SD00631	Podarcis muralis	Male	SD0063101
SD00305	Sciurus vulgaris	Male	SD0030501
SD03257	Psittacula echo	Female	SD0325701
SD03161	Canis familiaris	Male	SD0316101
SD03263	Psittacula echo	Unknown	SD0326301
SD03254	Psittacula echo	Unknown	SD0325401
SD04350	Podarcis milensis	Male	SD0435001
SD03109	Canis familiaris	Male	SD0310901
SD02339	Podarcis filfolensis	Male	SD0233901
SD00612	Podarcis muralis	Male	SD0061201
SD02261	Podarcis muralis	Male	SD0226101
SD04490	Lissotriton helveticus	Male	SD0449001
SD00436	Sciurus carolinensis	Female	SD0043601, SD0043602, SD0043603
SD02260	Podarcis muralis	Female	SD0226001
SD01693	Sciurus vulgaris	Female	SD0169301
SD01682	Sciurus carolinensis	Male	SD0168201
SD03852	Calotriton asper	Male	SD0385201
SD00540	Podarcis muralis	Male	SD0054001
SD04513	Lissotriton helveticus	Male	SD0451301
SD00843	Podarcis muralis	Male	SD0084301
SD03231	Canis familiaris	Male	SD0323101
SD00346	Sciurus carolinensis	Male	SD0034601, SD0034602, SD0034603
SD03444	Lissotriton helveticus	Male	SD0344401
SD00189	Psittacula echo	Unknown	SD0018901
SD00802	Podarcis muralis	Male	SD0080201
SD04491	Lissotriton helveticus	Male	SD0449101
SD03443	Lissotriton helveticus	Male	SD0344301
SD02396	Podarcis gaigeae	Male	SD0239601
SD00644	Podarcis muralis	Male	SD0064401
SD02270	Podarcis muralis	Male	SD0227001
SD03417	Lissotriton helveticus	Male	SD0341701
SD00173	Psittacula echo	Unknown	SD0017301
SD02341	Podarcis filfolensis	Male	SD0234101
SD00872	Podarcis muralis	Male	SD0087201
