genome_id	assembly_id	phylum	class	domain	order	family	genus	species	GTDB_version	completeness	contamination	genome_size	genome_gc	genome_n50	contigs	Release	coding_density
EHM012477	EHA00390	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__	2.3.0	97.9	2.548	3332198	0.414	204880	26		NA
EHM012478	EHA00390	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Wujia	s__	2.3.0	95.97	0	2976927	0.437	158915	55		NA
EHM012479	EHA00390	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__UBA3282	s__	2.3.0	88.51	4.106	2877408	0.445	17174	236		NA
EHM012480	EHA00390	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	2.3.0	91.11	4.099	3184712	0.487	28518	161		NA
EHM012481	EHA00390	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Butyribacter	s__	2.3.0	95.94	1.576	2722260	0.418	30422	134		NA
EHM012482	EHA00390	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Bacteroidaceae	g__UBA4293	s__	2.3.0	96.18	0.681	4095116	0.478	88143	87		NA
EHM012483	EHA00390	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__	2.3.0	79.05	1.976	1774536	0.606	4190	477		NA
EHM012484	EHA00390	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__RGIG4057	s__	2.3.0	81.89	3.523	2738235	0.465	4785	656		NA
EHM012485	EHA00390	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__	2.3.0	99.42	2.879	3953892	0.492	80408	69		NA
EHM012486	EHA00390	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__	2.3.0	95.27	3.647	2758293	0.529	13981	286		NA
EHM012487	EHA00390	p__Bacteroidota	c__Bacteroidia	d__Bacteria	o__Bacteroidales	f__Muribaculaceae	g__UBA3263	s__	2.3.0	97.35	0.777	2010497	0.549	20381	144		NA
EHM012488	EHA00390	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	2.3.0	96.23	1.812	3599004	0.524	35650	182		NA
EHM012489	EHA00390	p__Campylobacterota	c__Campylobacteria	d__Bacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_C	s__Helicobacter_C marmotae	2.3.0	53.58	1.232	896700	0.394	2430	366		NA
EHM012490	EHA00390	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__	2.3.0	55.09	0.335	1440753	0.439	3104	495		NA
EHM012491	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	2.3.0	61.32	1.819	1694690	0.436	3771	484		NA
EHM012492	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__CAG-882	s__	2.3.0	81.94	5.223	2228029	0.492	5486	477		NA
EHM012493	EHA00391	p__Bacillota_A	c__Clostridia	d__Bacteria	o__Lachnospirales	f__Lachnospiraceae	g__UBA2882	s__	2.3.0	97.7	0.862	3249821	0.415	152261	58		NA
